"filename", "language", "XML", "HTML", "SCSS", "Markdown", "JavaScript", "PostCSS", "TypeScript", "MS SQL", "comment", "blank", "total"
"/Users/darrellparkhouse/development/beta-crm/.idea/beta-crm.iml", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/darrellparkhouse/development/beta-crm/architecture.md", "Markdown", 0, 0, 0, 256, 0, 0, 0, 0, 0, 59, 315
"/Users/darrellparkhouse/development/beta-crm/backend/README.md", "Markdown", 0, 0, 0, 159, 0, 0, 0, 0, 0, 54, 213
"/Users/darrellparkhouse/development/beta-crm/backend/server.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 8, 11, 60
"/Users/darrellparkhouse/development/beta-crm/backend/src/config/database.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 0, 8, 11, 75
"/Users/darrellparkhouse/development/beta-crm/backend/src/controllers/authController.js", "JavaScript", 0, 0, 0, 0, 218, 0, 0, 0, 46, 39, 303
"/Users/darrellparkhouse/development/beta-crm/backend/src/controllers/queries.js", "JavaScript", 0, 0, 0, 0, 140, 0, 0, 0, 3, 20, 163
"/Users/darrellparkhouse/development/beta-crm/backend/src/controllers/taskController.js", "JavaScript", 0, 0, 0, 0, 320, 0, 0, 0, 37, 66, 423
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrate.js", "JavaScript", 0, 0, 0, 0, 130, 0, 0, 0, 21, 26, 177
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrations/001_create_users_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 30, 5, 6, 41
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrations/002_create_companies_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 31, 4, 4, 39
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrations/003_create_contacts_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 41, 4, 4, 49
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrations/004_create_deals_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 35, 4, 4, 43
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrations/005_create_tasks_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 34, 4, 4, 42
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrations/006_create_activities_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 34, 4, 4, 42
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrations/007_create_notes_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 20, 4, 4, 28
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/migrations/008_create_refresh_tokens_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 16, 5, 5, 26
"/Users/darrellparkhouse/development/beta-crm/backend/src/database/seeds/seed.js", "JavaScript", 0, 0, 0, 0, 109, 0, 0, 0, 11, 17, 137
"/Users/darrellparkhouse/development/beta-crm/backend/src/middleware/auth.js", "JavaScript", 0, 0, 0, 0, 104, 0, 0, 0, 20, 23, 147
"/Users/darrellparkhouse/development/beta-crm/backend/src/middleware/errorHandler.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 4, 4, 29
"/Users/darrellparkhouse/development/beta-crm/backend/src/middleware/notFound.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"/Users/darrellparkhouse/development/beta-crm/backend/src/models/RefreshToken.js", "JavaScript", 0, 0, 0, 0, 73, 0, 0, 0, 40, 12, 125
"/Users/darrellparkhouse/development/beta-crm/backend/src/models/User.js", "JavaScript", 0, 0, 0, 0, 72, 0, 0, 0, 48, 18, 138
"/Users/darrellparkhouse/development/beta-crm/backend/src/models/User.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"/Users/darrellparkhouse/development/beta-crm/backend/src/models/UserPermissions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 2, 28
"/Users/darrellparkhouse/development/beta-crm/backend/src/routes/authRoutes.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 30, 8, 49
"/Users/darrellparkhouse/development/beta-crm/backend/src/services/taskService.js", "JavaScript", 0, 0, 0, 0, 331, 0, 0, 0, 55, 61, 447
"/Users/darrellparkhouse/development/beta-crm/backend/src/utils/jwt.js", "JavaScript", 0, 0, 0, 0, 91, 0, 0, 0, 32, 15, 138
"/Users/darrellparkhouse/development/beta-crm/claude.md", "Markdown", 0, 0, 0, 49, 0, 0, 0, 0, 0, 22, 71
"/Users/darrellparkhouse/development/beta-crm/client/calendar.html", "HTML", 0, 130, 0, 0, 0, 0, 0, 0, 7, 10, 147
"/Users/darrellparkhouse/development/beta-crm/client/css/app.css", "PostCSS", 0, 0, 0, 0, 0, 538, 0, 0, 2, 19, 559
"/Users/darrellparkhouse/development/beta-crm/client/dashboard-empty.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/darrellparkhouse/development/beta-crm/client/images/[Navigation] Web/Logo.svg", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/darrellparkhouse/development/beta-crm/client/images/[Navigation] Web/beta-crm-logo.svg", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/darrellparkhouse/development/beta-crm/client/images/calendar-icon.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/beta-crm/client/images/checked.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/darrellparkhouse/development/beta-crm/client/images/dashboard/checklist.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/beta-crm/client/images/dashboard/work.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/beta-crm/client/images/kanban/help-center-icon.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/beta-crm/client/images/kanban/kanban-icon.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/beta-crm/client/images/kanban/white-ui-store-logo.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/darrellparkhouse/development/beta-crm/client/images/unchecked.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/darrellparkhouse/development/beta-crm/client/js/calendar.js", "JavaScript", 0, 0, 0, 0, 225, 0, 0, 0, 34, 53, 312
"/Users/darrellparkhouse/development/beta-crm/client/kanban-item.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/darrellparkhouse/development/beta-crm/client/kanban.html", "HTML", 0, 96, 0, 0, 0, 0, 0, 0, 0, 8, 104
"/Users/darrellparkhouse/development/beta-crm/client/new-task.html", "HTML", 0, 90, 0, 0, 0, 0, 0, 0, 0, 2, 92
"/Users/darrellparkhouse/development/beta-crm/client/post.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 0, 2, 6, 83
"/Users/darrellparkhouse/development/beta-crm/client/scss/_icons.scss", "SCSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"/Users/darrellparkhouse/development/beta-crm/client/scss/app.scss", "SCSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_button.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 0, 2, 3, 15
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_calendar.scss", "SCSS", 0, 0, 430, 0, 0, 0, 0, 0, 5, 78, 513
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_form.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 0, 1, 5, 23
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_kanban-item.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_kanban.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_mixins.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_task.scss", "SCSS", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_vars.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"/Users/darrellparkhouse/development/beta-crm/design-system.md", "Markdown", 0, 0, 0, 105, 0, 0, 0, 0, 0, 43, 148
"Total", "-", 69, 416, 598, 569, 1948, 538, 63, 241, 451, 779, 5672